"STATION","DATE","MAX","MIN","TEMP"
"15421099999","2010-01-01","  42.8","  35.6","  39.8"
"15421099999","2010-01-02","  44.6","  33.8","  37.6"
"15421099999","2010-01-03","  33.8","  26.6","  30.6"
"15421099999","2010-01-04","  28.4","  12.2","  24.0"
"15421099999","2010-01-05","  28.4","  10.4","  20.1"
"15421099999","2010-01-06","  37.4","  26.6","  32.5"
"15421099999","2010-01-07","  41.0","  33.8","  36.6"
"15421099999","2010-01-08","  37.4","  32.0","  34.8"
"15421099999","2010-01-09","  51.8","  39.2","  44.1"
"15421099999","2010-01-10","  51.8","  39.2","  44.6"
"15421099999","2010-01-11","  51.8","  30.2","  41.4"
"15421099999","2010-01-12","  42.8","  30.2","  35.7"
"15421099999","2010-01-13","  37.4","  33.8","  35.1"
"15421099999","2010-01-14","  33.8","  32.0","  32.8"
"15421099999","2010-01-15","  37.4","  32.0","  33.9"
"15421099999","2010-01-16","  32.0","  28.4","  31.0"
"15421099999","2010-01-17","  32.0","  26.6","  29.5"
"15421099999","2010-01-18","  30.2","  23.0","  26.0"
"15421099999","2010-01-19","  24.8","  19.4","  22.6"
"15421099999","2010-01-20","  24.8","  17.6","  20.2"
"15421099999","2010-01-21","  21.2","   5.0","  16.2"
"15421099999","2010-01-22","  19.4","   1.4","  13.0"
"15421099999","2010-01-23","  21.2","   5.0","  15.7"
"15421099999","2010-01-24","  10.4","  -5.8","   3.7"
"15421099999","2010-01-25","  31.5","  -7.6","   2.6"
"15421099999","2010-01-26","  14.0"," -11.2","   2.2"
"15421099999","2010-01-27","  17.6","   1.4","  12.1"
"15421099999","2010-01-28","  21.2","   8.6","  15.1"
"15421099999","2010-01-29","  24.8","  12.2","  18.6"
"15421099999","2010-01-30","  26.6","   1.4","  16.6"
"15421099999","2010-01-31","  35.6","  21.2","  30.6"
"15421099999","2010-02-01","  33.8","  26.6","  29.9"
"15421099999","2010-02-02","  30.2","  12.2","  24.9"
"15421099999","2010-02-03","  32.0","   5.0","  18.3"
"15421099999","2010-02-04","  35.6","  10.4","  22.5"
"15421099999","2010-02-05","  28.4","  10.4","  17.8"
"15421099999","2010-02-06","  26.6","  21.2","  24.5"
"15421099999","2010-02-07","  26.6","  19.4","  24.1"
"15421099999","2010-02-08","  24.8","  17.6","  20.8"
"15421099999","2010-02-09","  28.4","   6.8","  20.1"
"15421099999","2010-02-10","  30.2","  10.4","  20.7"
"15421099999","2010-02-11","  35.6","  30.2","  35.0"
"15421099999","2010-02-12","  35.6","  33.8","  34.3"
"15421099999","2010-02-13","  39.2","  32.0","  35.2"
"15421099999","2010-02-14","  39.2","  30.2","  34.2"
"15421099999","2010-02-15","  33.8","  32.0","  33.0"
"15421099999","2010-02-16","  32.0","  28.4","  29.5"
"15421099999","2010-02-17","  33.8","  26.6","  30.9"
"15421099999","2010-02-18","  39.2","  33.8","  35.6"
"15421099999","2010-02-19","  39.2","  32.0","  35.0"
"15421099999","2010-02-20","  55.4","  33.8","  43.2"
"15421099999","2010-02-21","  44.6","  35.6","  40.2"
"15421099999","2010-02-22","  48.2","  28.4","  37.4"
"15421099999","2010-02-23","  53.6","  28.4","  40.0"
"15421099999","2010-02-24","  50.0","  37.4","  41.9"
"15421099999","2010-02-25","  46.4","  42.8","  44.1"
"15421099999","2010-02-26","  50.0","  35.6","  42.0"
"15421099999","2010-02-27","  41.0","  35.6","  38.2"
"15421099999","2010-02-28","  44.6","  37.4","  40.8"
"15421099999","2010-03-01","  51.8","  37.4","  45.0"
"15421099999","2010-03-02","  60.8","  42.8","  49.2"
"15421099999","2010-03-03","  53.6","  37.4","  44.6"
"15421099999","2010-03-04","  44.6","  33.8","  39.0"
"15421099999","2010-03-05","  35.6","  32.0","  34.1"
"15421099999","2010-03-06","  33.8","  28.4","  32.2"
"15421099999","2010-03-07","  37.4","  21.2","  30.2"
"15421099999","2010-03-08","  30.2","  24.8","  27.8"
"15421099999","2010-03-09","  28.4","  24.8","  26.5"
"15421099999","2010-03-10","  32.0","  24.8","  28.4"
"15421099999","2010-03-11","  32.0","  28.4","  30.0"
"15421099999","2010-03-12","  37.4","  30.2","  33.0"
"15421099999","2010-03-13","  44.6","  28.4","  34.7"
"15421099999","2010-03-14","  48.2","  28.4","  37.8"
"15421099999","2010-03-15","  51.8","  28.4","  38.4"
"15421099999","2010-03-16","  50.0","  26.6","  38.6"
"15421099999","2010-03-17","  44.6","  28.4","  37.3"
"15421099999","2010-03-18","  53.6","  26.6","  41.0"
"15421099999","2010-03-19","  60.8","  30.2","  45.3"
"15421099999","2010-03-20","  66.2","  33.8","  50.5"
"15421099999","2010-03-21","  69.8","  44.6","  56.6"
"15421099999","2010-03-22","  73.4","  44.6","  59.8"
"15421099999","2010-03-23","  51.8","  42.8","  45.8"
"15421099999","2010-03-24","  64.4","  41.0","  51.7"
"15421099999","2010-03-25","  66.2","  39.2","  53.7"
"15421099999","2010-03-26","  59.0","  35.6","  48.0"
"15421099999","2010-03-27","  60.8","  35.6","  47.4"
"15421099999","2010-03-28","  44.6","  39.2","  43.2"
"15421099999","2010-03-29","  60.8","  41.0","  49.0"
"15421099999","2010-03-30","  68.0","  35.6","  52.8"
"15421099999","2010-03-31","  57.2","  42.8","  48.3"
"15421099999","2010-04-01","  66.2","  41.0","  53.1"
"15421099999","2010-04-02","  64.4","  37.4","  52.3"
"15421099999","2010-04-03","  62.6","  39.2","  51.5"
"15421099999","2010-04-04","  64.4","  35.6","  51.5"
"15421099999","2010-04-05","  62.6","  42.8","  52.3"
"15421099999","2010-04-06","  50.0","  48.2","  49.0"
"15421099999","2010-04-07","  64.4","  48.2","  56.7"
"15421099999","2010-04-08","  64.4","  46.4","  56.3"
"15421099999","2010-04-09","  62.6","  46.4","  53.3"
"15421099999","2010-04-10","  66.2","  44.6","  54.3"
"15421099999","2010-04-11","  60.8","  42.8","  50.6"
"15421099999","2010-04-12","  59.0","  39.2","  50.5"
"15421099999","2010-04-13","  62.6","  42.8","  52.5"
"15421099999","2010-04-14","  59.0","  41.0","  49.0"
"15421099999","2010-04-15","  55.4","  41.0","  48.9"
"15421099999","2010-04-16","  66.2","  46.4","  54.9"
"15421099999","2010-04-17","  66.2","  42.8","  55.2"
"15421099999","2010-04-18","  68.0","  42.8","  56.0"
"15421099999","2010-04-19","  62.6","  41.0","  52.3"
"15421099999","2010-04-20","  53.6","  50.0","  51.5"
"15421099999","2010-04-21","  68.0","  46.4","  57.8"
